city,county,code
Berlin,Germany,BER
"Chicago, IL",USA,CHI
"Detroit, MI",USA,DTT
"Jakarta, Java",Indonesia,JKT
London,England,LON
"Los Angeles, CA",USA,QLA
Malmo,Sweden,MMA
Milan,Italy,MIL
"Montreal, PQ",Canada,YMQ
"Montreal, PQ",Canada,YMQ
Moscow,Russia,MOW
Mulhouse,France,EAP
"New York, NY",USA,NYC
Osaka,Japan,OSA
Paris,France,PAR
Reykjavik,Iceland,REK
Rio de Janeiro,Brazil,RIO
Rome,Italy,ROM
"San Francisco, CA",USA,QSF
Sao Paulo,Brazil,SAO
Stockholm,Sweden,STO
Tenerife Island,Canary Islands,TCI
Tenerife Island,Canary Islands,TVI
Tokyo,Japan,TYO
"Toronto, ON",Canada,YTO
"Toronto, ON",Canada,YTO
Washington DC,USA,WAS
